,County,vehicles_registered,V1,income_per_capita,Num_stations,Num_ports,population,employment,ResidentialElectricityconsumption..MWh.capita.,On.Road.TransportationGasolineconsumption..gallons.capita.,On.Road.TransportationDieselconsumption..gallons.capita.,On.Road.Transportationvehicle.miles.traveled..miles.capita.,On.road.TransportationGasolineGHG.emissions.mtons.CO2e,On.road.TransportationDieselGHG.emissions.mtons.CO2e,Num_EV
1,Travis,20823,227,"$74,032 ",436,1302,1148176,1165778,4,514,151,"9,755","6,367,642","2,198,246",154117
2,Harris,20352,101,"$60,183 ",359,1114,4434257,4090870,5,497,177,"9,627","23,781,933","9,907,967",155077
3,Dallas,15234,57,"$65,401 ",318,855,2513054,2912184,5,582,159,"10,827","15,777,162","5,063,805",124784
4,Collin,13177,43,"$71,246 ",123,284,886633,777684,5,524,127,"9,695","5,012,421","1,425,283",92220
5,Bexar,11524,15,"$48,569 ",191,375,1858699,1482102,4,459,148,"8,799","9,214,166","3,484,528",67976
6,Tarrant,10407,220,"$55,615 ",114,443,1947529,1542176,5,500,143,"9,391","10,502,038","3,531,471",79470
7,Denton,9387,61,"$63,283 ",43,114,754650,423766,5,437,127,"8,308","3,556,180","1,208,763",64132
8,Williamson,7338,246,"$56,693 ",30,147,490619,302286,4,460,154,"8,910","2,434,165","953,776",55495
9,Fort Bend,6907,79,"$61,791 ",21,64,683756,320096,5,364,137,"7,198","2,686,367","1,184,074",50178
10,Montgomery,3555,170,"$65,516 ",13,59,518849,310900,5,416,228,"8,860","2,329,637","1,498,675",24337
11,El Paso,2389,70,"$41,818 ",43,68,833592,470206,2,405,131,"7,758","3,644,779","1,380,643",15089
12,Hays,1841,105,"$50,212 ",10,105,185686,106862,5,528,213,"10,506","1,058,046","499,646",12409
13,Brazoria,1526,20,"$51,812 ",8,46,338419,174898,5,451,173,"8,792","1,647,881","742,362",12032
14,Hidalgo,1384,108,"$31,153 ",5,31,828334,389652,4,336,115,"6,375","3,004,975","1,203,815",8578
15,Galveston,1266,84,"$57,941 ",20,80,314485,171538,5,426,136,"8,038","1,445,303","542,118",9152
16,Comal,1173,46,"$62,994 ",0,38,124234,93287,6,695,315,"14,086","932,182","494,727",8528
17,Bell,1033,14,"$46,594 ",7,21,330859,184226,5,488,184,"9,546","1,741,399","770,606",5814
18,Rockwall,817,199,"$64,943 ",6,21,88010,51292,6,537,191,"10,437","510,566","212,224",5459
19,Cameron,779,31,"$33,690 ",4,41,418785,217160,4,359,120,"6,773","1,623,122","635,634",5060
20,Ellis,663,71,"$49,333 ",0,17,160225,84126,5,694,327,"14,285","1,201,150","664,016",3980
21,Nueces,661,178,"$47,999 ",7,58,355667,292686,5,484,156,"9,128","1,858,818","702,805",4585
22,Brazos,601,21,"$43,430 ",36,39,209896,132146,5,434,139,"8,246","982,945","368,051",4065
23,Guadalupe,590,94,"$49,405 ",0,8,147313,64252,5,502,267,"10,572","798,960","497,579",3840
24,Parker,590,184,"$59,929 ",12,7,123601,57040,6,535,306,"11,569","713,697","478,171",2974
25,McLennan,584,161,"$45,772 ",15,44,243394,209464,5,596,259,"11,814","1,567,027","798,974",4042
26,Lubbock,571,152,"$46,502 ",4,26,294682,227230,5,414,141,"7,725","1,317,527","527,293",3312
27,Smith,518,212,"$57,076 ",4,25,219745,182888,5,552,283,"11,329","1,309,720","786,594",3253
28,Kendall,496,130,"$84,853 ",0,10,39010,24690,5,475,349,"10,920","199,857","172,538",3151
29,Johnson,467,126,"$47,654 ",3,19,157544,73206,5,399,177,"8,050","679,138","353,134",3372
30,Kaufman,465,129,"$47,580 ",0,12,111830,48520,5,672,325,"13,821","811,682","460,587",2517
31,Grayson,366,91,"$47,045 ",9,25,124231,76692,5,606,205,"11,509","812,184","322,316",2072
32,Bastrop,348,11,"$42,177 ",13,43,78286,28433,5,512,261,"10,641","432,755","258,386",2006
33,Randall,314,191,"$52,391 ",0,1,128603,64510,4,323,154,"6,494","448,819","250,648",1987
34,Webb,311,240,"$35,626 ",3,14,266006,154538,4,351,132,"6,826","1,007,650","443,493",1874
35,Jefferson,306,123,"$46,547 ",11,21,252993,206434,5,523,207,"10,183","1,428,289","662,287",1950
36,Taylor,286,221,"$52,429 ",3,6,135234,111157,4,474,200,"9,384","692,400","342,062",1446
37,Midland,241,165,"$126,631 ",5,15,155817,162206,5,498,247,"10,083","837,321","486,784",1260
38,Hood,240,111,"$55,132 ",0,6,54217,28597,6,359,152,"7,124","210,280","104,312",1203
39,Wichita,203,243,"$46,322 ",7,9,132148,89814,5,430,144,"8,090","614,098","241,521",1285
40,Gregg,202,92,"$49,152 ",3,14,123283,129894,5,570,241,"11,174","758,759","376,176",1543
41,Hunt,196,116,"$42,819 ",3,1,89068,47041,5,627,398,"13,836","603,107","448,572",903
42,Burnet,181,27,"$53,751 ",0,4,44584,22736,5,579,272,"11,571","278,528","153,224",786
43,Tom Green,175,226,"$52,947 ",3,7,116264,79568,4,410,163,"7,954","514,137","239,622",1124
44,Waller,173,237,"$44,779 ",3,19,47049,21429,5,700,481,"15,785","355,521","286,508",504
45,Ector,160,68,"$49,887 ",3,12,153177,114930,5,393,225,"8,272","649,889","436,585",1119
46,Kerr,138,133,"$56,093 ",3,17,50505,32015,5,430,278,"9,346","234,578","177,505",762
47,Potter,136,188,"$49,498 ",4,43,121883,122761,4,532,229,"10,313","700,414","352,556",792
48,Medina,131,163,"$44,456 ",0,1,47920,14297,5,481,319,"10,712","249,056","193,233",742
49,Coryell,130,50,"$38,222 ",0,1,75710,19463,4,313,134,"6,294","255,693","128,534",588
50,Wise,130,249,"$48,435 ",0,3,62089,36064,6,636,317,"13,134","426,258","248,712",678
51,Henderson,120,107,"$43,356 ",0,7,79213,26170,6,483,195,"9,341","412,652","195,408",696
52,Victoria,113,235,"$53,881 ",3,15,90989,68640,5,470,219,"9,483","461,661","251,663",768
53,Gillespie,111,86,"$68,885 ",0,14,25732,18484,5,522,314,"11,031","145,141","102,280",669
54,Chambers,105,36,"$59,687 ",0,0,38072,24214,6,"1,136","1,109","29,128","466,881","534,472",605
55,Van Zandt,101,234,"$42,656 ",0,3,53070,16047,6,750,586,"17,556","429,537","393,725",524
56,Bowie,99,19,"$44,151 ",0,10,93483,65864,5,606,371,"13,120","612,010","438,881",469
57,Polk,98,187,"$42,830 ",0,2,46583,16842,6,503,263,"10,280","253,193","155,025",438
58,Wilson,96,247,"$49,745 ",0,3,46444,12701,5,362,201,"7,676","181,338","117,930",441
59,Cooke,88,49,"$54,759 ",0,0,38878,25368,6,852,432,"17,527","357,400","212,737",406
60,Mills,88,167,"$45,663 ",0,1,4871,1548,5,903,603,"19,901","47,506","37,177",37
61,Harrison,87,102,"$45,396 ",0,8,66431,38780,5,648,471,"14,688","464,959","395,643",448
62,Angelina,85,3,"$42,536 ",3,1,87657,59546,5,475,191,"9,233","449,446","212,187",504
63,San Patricio,80,205,"$48,391 ",0,0,66706,31331,6,614,344,"13,087","441,999","290,374",447
64,Orange,78,181,"$48,173 ",0,4,83751,38494,6,630,282,"12,608","569,297","299,147",379
65,Llano,76,150,"$52,538 ",0,13,19624,7279,6,520,266,"10,512","110,103","65,967",562
66,Caldwell,73,28,"$38,734 ",0,0,39848,13745,5,618,312,"12,770","265,745","157,094",1113
67,Hardin,71,100,"$49,159 ",3,3,55624,18371,6,439,216,"9,005","263,366","152,078",337
68,Liberty,71,146,"$40,904 ",0,0,78598,25083,6,524,231,"10,401","444,446","229,891",406
69,Washington,68,239,"$58,426 ",0,8,34544,25131,5,634,338,"13,249","236,433","147,960",396
70,Walker,67,236,"$32,334 ",9,18,69926,24177,4,621,407,"13,833","468,423","360,555",353
71,Navarro,64,175,"$42,869 ",7,12,48177,26748,5,820,381,"16,524","426,520","232,066",281
72,Nacogdoches,63,174,"$41,188 ",0,10,65556,35846,5,476,214,"9,419","337,008","177,409",343
73,Val Verde,63,233,"$41,079 ",3,2,48862,21334,4,318,137,"6,233","167,900","84,543",354
74,Hill,62,109,"$44,776 ",3,14,34901,14656,5,"1,012",838,"24,058","381,350","370,025",323
75,Cherokee,61,37,"$38,190 ",0,0,51257,21718,5,471,220,"9,343","260,846","142,516",163
76,Lamar,60,140,"$46,538 ",0,2,49626,34034,5,489,209,"9,619","261,937","131,167",305
77,Bandera,58,10,"$48,461 ",0,4,21015,6255,6,330,203,"7,118","74,908","53,921",424
78,Hopkins,58,112,"$45,219 ",0,8,35844,21486,6,736,606,"17,518","284,619","275,070",253
79,Wood,58,250,"$42,978 ",0,0,43198,17447,6,437,218,"8,872","203,945","119,414",315
80,Austin,57,8,"$55,686 ",0,2,29107,15011,6,861,563,"19,101","270,428","207,478",336
81,Atascosa,56,7,"$41,599 ",0,0,47710,20723,5,594,552,"14,905","306,017","333,183",330
82,Anderson,54,1,"$38,807 ",0,2,57772,22236,4,417,187,"8,194","259,835","136,839",224
83,Grimes,52,93,"$39,033 ",0,6,27140,10485,5,703,411,"14,970","205,949","141,248",424
84,Rusk,52,201,"$39,551 ",0,0,53197,20795,5,385,198,"7,853","220,955","133,444",112
85,Blanco,49,16,"$58,805 ",0,18,10918,3985,5,992,567,"20,951","116,867","78,280",247
86,Erath,49,72,"$43,900 ",0,0,40641,23718,5,462,292,"10,141","202,644","150,052",278
87,Fannin,47,74,"$42,562 ",0,0,33757,9928,5,387,171,"7,705","140,912","73,165",208
88,Maverick,45,159,"$35,133 ",0,2,56830,25034,4,403,176,"7,841","247,110","126,606",181
89,Aransas,44,4,"$54,374 ",0,9,24729,8425,6,451,194,"8,850","120,274","60,610",299
90,Upshur,44,230,"$39,674 ",0,0,40295,9170,5,439,240,"9,124","190,847","122,296",173
91,Kleberg,42,137,"$43,560 ",3,9,31877,13880,5,538,260,"11,122","185,221","104,742",207
92,Lampasas,41,142,"$54,153 ",0,5,20357,7286,5,556,288,"11,489","122,212","74,182",183
93,Titus,40,225,"$41,207 ",0,0,32592,26940,5,676,523,"15,507","238,006","215,645",188
94,Jim Wells,35,125,"$46,483 ",0,12,41486,26169,5,471,267,"10,111","211,030","140,198",193
95,Milam,35,166,"$40,552 ",0,0,24372,8948,5,626,331,"12,962","164,601","102,083",134
96,Wharton,35,241,"$48,384 ",0,10,41377,22788,6,731,362,"14,911","326,308","189,500",185
97,Colorado,33,45,"$51,732 ",7,10,20792,11834,6,"1,386","1,442","36,002","311,148","379,431",190
98,San Jacinto,32,204,"$39,298 ",0,0,27172,2139,6,409,225,"8,559","119,920","77,526",236
99,Fayette,30,75,"$57,962 ",0,18,24909,14692,5,"1,135",990,"27,379","305,130","312,029",181
100,Howard,30,114,"$45,105 ",2,0,36423,17864,4,599,440,"13,627","235,549","202,945",115
101,Palo Pinto,30,182,"$45,095 ",0,0,27922,11732,5,583,530,"14,445","175,793","187,428",198
102,Starr,30,214,"$32,146 ",0,2,63008,17350,4,370,173,"7,293","251,405","137,628",146
103,Matagorda,28,158,"$48,150 ",0,5,36719,14894,6,483,223,"9,660","191,609","103,412",148
104,Uvalde,28,232,"$45,255 ",2,2,27055,17505,4,504,265,"10,277","147,142","90,818",152
105,Bee,27,13,"$31,834 ",0,0,32706,9910,4,405,217,"8,469","142,903","89,775",208
106,Bosque,27,18,"$45,635 ",0,0,17953,4862,6,475,255,"9,758","92,026","58,019",87
107,Brown,25,25,"$42,771 ",0,0,37935,25958,5,445,215,"8,875","182,325","103,218",123
108,Cass,25,34,"$41,275 ",0,0,30346,11502,6,544,266,"10,975","178,188","102,157",58
109,Gonzales,25,89,"$47,272 ",0,0,20370,9972,5,"1,224","1,112","29,975","269,256","286,580",160
110,Rains,23,190,"$38,200 ",0,0,11087,2649,6,558,300,"11,561","66,730","42,044",95
111,Andrews,22,2,"$50,248 ",0,0,17215,10342,5,787,466,"16,527","146,340","101,485",153
112,Hale,22,95,"$38,674 ",0,1,35007,17520,4,524,341,"11,256","198,082","150,887",126
113,Limestone,22,147,"$41,072 ",0,0,23469,10050,5,544,266,"10,960","137,759","79,108",109
114,Jasper,21,121,"$43,486 ",0,2,35640,16694,6,516,288,"10,833","198,399","129,713",125
115,Somervell,21,213,"$50,164 ",0,0,8673,5938,5,538,288,"11,214","50,371","31,647",124
116,Young,21,252,"$53,227 ",0,0,18275,11253,6,448,243,"9,195","88,446","56,198",81
117,Franklin,20,80,"$44,725 ",0,0,10571,10212,6,782,720,"19,307","89,277","96,381",67
118,Freestone,19,81,"$40,407 ",0,0,19585,6825,6,"1,121","1,038","27,816","236,964","257,153",107
119,Brewster,18,22,"$52,483 ",0,4,9188,5270,5,"1,097",554,"21,863","108,771","64,398",48
120,Burleson,18,26,"$49,975 ",0,0,17417,6131,6,719,421,"15,272","135,175","92,711",97
121,Lavaca,17,143,"$57,399 ",0,0,19654,11033,5,590,327,"12,249","125,229","81,272",138
122,Lee,17,144,"$53,791 ",0,8,16754,11192,5,533,315,"11,338","96,425","66,724",90
123,Montague,15,169,"$44,790 ",0,0,19384,7447,6,659,365,"13,758","138,001","89,580",96
124,Panola,15,183,"$47,191 ",0,0,23771,13399,6,607,341,"12,623","155,855","102,474",60
125,Hamilton,14,97,"$65,685 ",0,4,8232,3121,5,761,472,"16,523","67,610","49,176",89
126,Marion,14,155,"$42,536 ",0,0,10191,3374,6,501,264,"10,247","55,159","33,984",90
127,Callahan,13,30,"$45,798 ",0,20,13596,2896,5,"1,065","1,074","27,469","156,333","184,848",61
128,Deaf Smith,13,59,"$54,950 ",0,0,19039,10866,4,497,266,"9,955","102,073","64,189",43
129,Hockley,13,110,"$46,051 ",0,0,23377,13017,4,666,339,"13,389","167,996","100,375",65
130,Houston,13,113,"$44,693 ",0,0,22802,6435,5,497,262,"10,209","122,265","75,662",75
131,Hutchinson,13,117,"$46,860 ",0,0,21782,12934,4,445,195,"8,581","104,651","53,664",91
132,Morris,13,172,"$43,036 ",0,0,12653,6565,6,661,550,"15,778","90,265","88,101",35
133,Calhoun,12,29,"$52,180 ",0,3,21805,16666,5,453,216,"9,112","106,648","59,520",76
134,Delta,12,60,"$43,628 ",0,0,5226,1542,5,527,305,"11,264","29,742","20,167",75
135,Gray,12,90,"$45,091 ",0,0,23028,11839,4,505,389,"11,489","125,470","113,245",80
136,Leon,12,145,"$42,878 ",0,12,16923,8763,6,"1,392","1,327","34,976","254,263","284,143",79
137,Moore,12,171,"$51,476 ",0,16,22186,15284,4,451,232,"8,852","108,015","65,155",61
138,Robertson,12,198,"$45,866 ",0,0,16537,5343,6,954,543,"20,247","170,367","113,572",61
139,Eastland,11,67,"$65,416 ",0,12,18252,10921,5,"1,011","1,004","25,594","199,264","231,857",36
140,Tyler,11,229,"$36,694 ",0,0,21371,4489,6,441,247,"9,223","101,724","66,753",12
141,Carson,10,33,"$48,021 ",0,0,6027,1468,5,"2,067","2,155","53,254","134,467","164,339",72
142,Clay,10,39,"$48,038 ",0,12,10367,1280,6,"1,246",742,"26,609","139,466","97,297",38
143,Comanche,10,47,"$47,959 ",0,1,13506,4556,5,564,331,"11,899","82,272","56,596",46
144,Madison,10,154,"$35,865 ",0,28,13843,5820,5,"1,065","1,132","28,152","159,223","198,238",34
145,Nolan,10,177,"$48,017 ",0,12,15017,8718,5,"1,082",945,"26,149","175,361","179,536",28
146,Runnels,10,200,"$44,352 ",0,0,10411,4237,5,689,398,"14,596","77,491","52,449",43
147,Trinity,10,228,"$39,206 ",0,0,14360,3061,6,491,266,"10,188","76,181","48,346",52
148,Lamb,9,141,"$50,667 ",0,0,13561,4071,4,752,381,"14,921","110,069","65,339",31
149,Live Oak,9,149,"$38,734 ",0,10,11976,5526,5,"1,557","1,711","41,827","201,342","259,348",56
150,Pecos,9,186,"$40,391 ",0,12,15826,7745,4,"1,310","1,188","31,876","223,840","237,888",74
151,Red River,9,194,"$47,762 ",0,0,12455,2509,6,595,315,"12,333","80,008","49,686",37
152,Archer,8,5,"$55,290 ",0,0,8750,2284,6,823,456,"17,235","77,780","50,490",32
153,Castro,8,35,"$71,612 ",0,0,7875,1889,4,869,475,"17,277","73,839","47,355",4
154,Falls,8,73,"$39,865 ",0,0,17265,3373,4,682,480,"15,430","127,184","104,970",7
155,Karnes,8,128,"$61,330 ",0,0,14984,9237,4,822,484,"17,466","132,931","91,754",104
156,Scurry,8,208,"$47,272 ",0,0,17314,9828,5,637,379,"13,406","119,031","83,127",74
157,Swisher,8,219,"$53,734 ",0,0,7639,1929,4,"1,013",917,"24,511","83,507","88,649",14
158,Wilbarger,8,244,"$49,537 ",0,2,13061,5793,5,885,508,"18,768","124,815","83,990",34
159,Willacy,8,245,"$31,710 ",0,0,21944,3528,4,364,233,"7,917","86,155","64,717",33
160,Dallam,7,56,"$65,132 ",0,0,7052,3485,4,980,574,"20,346","74,644","51,230",58
161,Jackson,7,120,"$47,642 ",0,3,14678,7329,5,"1,038",591,"21,903","164,497","109,743",33
162,Mason,7,157,"$49,261 ",0,0,4064,1555,6,923,589,"19,674","40,506","30,307",24
163,Presidio,7,189,"$53,222 ",0,4,7144,1760,4,868,473,"17,571","66,922","42,759",30
164,Reeves,7,195,"$44,232 ",0,20,14438,6917,3,"1,389","1,263","33,799","216,545","230,850",26
165,Camp,6,32,"$40,272 ",0,0,12631,4791,5,394,199,"7,966","53,721","31,853",56
166,Dawson,6,58,"$42,595 ",0,3,13317,4891,4,753,414,"15,350","108,254","69,734",25
167,Frio,6,82,"$33,407 ",0,0,18542,10663,4,"1,131","1,085","28,578","226,387","254,568",73
168,Jeff Davis,6,122,"$48,623 ",0,3,2221,759,5,"2,078","1,732","48,233","49,814","48,680",31
169,Jones,6,127,"$35,520 ",0,0,19944,4511,4,493,256,"10,149","106,241","64,488",28
170,Lynn,6,153,"$40,351 ",0,0,5723,1102,4,"1,326",765,"27,448","81,940","55,415",25
171,Shelby,6,210,"$44,038 ",0,0,25705,12467,6,607,322,"12,330","168,341","104,646",12
172,Terry,6,223,"$41,634 ",0,0,12724,4892,3,939,513,"19,133","128,938","82,594",0
173,Ward,6,238,"$48,109 ",0,2,11396,6915,5,"1,173","1,151","29,796","144,277","165,944",24
174,Coleman,5,42,"$47,128 ",0,1,8476,2871,5,"1,030",631,"22,168","94,285","67,636",16
175,Edwards,5,69,"$55,329 ",0,0,2028,327,4,"1,602",949,"33,345","35,067","24,368",18
176,Floyd,5,77,"$42,627 ",0,0,6088,1836,5,813,430,"16,143","53,422","33,099",31
177,Parmer,5,185,"$57,137 ",0,0,9921,4568,4,835,449,"16,674","89,404","56,397",13
178,Zapata,5,253,"$28,981 ",0,0,14335,2996,5,405,250,"8,612","62,702","45,322",33
179,Childress,4,38,"$34,028 ",0,10,7059,2638,4,"1,136",642,"23,314","86,576","57,390",14
180,Duval,4,66,"$42,410 ",0,0,11510,3893,5,671,383,"14,153","83,336","55,799",17
181,Haskell,4,104,"$46,070 ",0,0,5812,2077,5,869,467,"17,798","54,544","34,320",3
182,Jack,4,119,"$41,038 ",0,0,8866,4092,5,657,410,"14,247","62,893","46,010",27
183,Knox,4,138,"$42,857 ",0,0,3807,1160,4,771,439,"15,884","31,703","21,149",12
184,Newton,4,176,"$36,839 ",0,0,14138,1955,5,453,257,"9,528","69,153","46,039",28
185,Ochiltree,4,179,"$59,892 ",0,1,10577,7357,4,422,211,"8,200","48,168","28,190",31
186,Refugio,4,196,"$48,266 ",0,0,7315,3453,6,"1,631","1,013","35,482","128,772","93,742",28
187,San Augustine,4,203,"$43,642 ",0,0,8556,2117,5,599,328,"12,306","55,313","35,517",28
188,Stephens,4,215,"$45,759 ",0,0,9787,4017,5,456,259,"9,496","48,136","32,115",1
189,Wheeler,4,242,"$48,691 ",0,6,5642,3277,5,"1,607","1,754","41,993","97,869","125,207",41
190,Winkler,4,248,"$62,259 ",0,0,7723,3502,4,"1,090",668,"22,818","90,899","65,249",21
191,Brooks,3,24,"$41,529 ",0,0,7217,2759,4,"1,327",807,"28,285","103,360","73,673",0
192,Crockett,3,53,"$46,364 ",0,10,3836,2243,5,"2,959","3,152","76,634","122,517","153,008",27
193,Goliad,3,88,"$49,513 ",0,0,7463,1352,6,769,486,"16,869","61,975","45,944",9
194,Hansford,3,98,"$66,588 ",0,0,5552,2338,4,570,312,"11,434","34,139","21,887",14
195,Hardeman,3,99,"$45,863 ",0,0,3952,1181,5,"1,850","1,079","38,643","78,941","53,975",28
196,Hartley,3,103,"$76,005 ",0,0,5966,2517,4,"1,087",660,"22,846","69,978","49,866",0
197,Hudspeth,3,115,"$26,835 ",0,0,3481,420,3,"5,908","7,135","162,324","222,004","314,328",0
198,Kinney,3,136,"$35,119 ",0,0,3578,611,4,"1,443",872,"30,751","55,745","39,496",14
199,Real,3,193,"$40,667 ",0,2,3348,1375,5,771,453,"16,012","27,883","19,174",21
200,San Saba,3,206,"$40,340 ",0,0,5881,1743,4,622,360,"12,967","39,512","26,781",2
201,Shackelford,3,209,"$86,294 ",0,0,3323,2036,6,"1,096",650,"23,305","39,328","27,337",21
202,Collingsworth,2,44,"$44,903 ",0,0,3032,828,5,750,418,"15,287","24,558","16,032",2
203,Concho,2,48,"$41,219 ",0,0,4142,1039,3,"1,347",847,"28,656","60,219","44,420",0
204,Crosby,2,54,"$41,146 ",0,0,5987,1171,4,869,479,"17,687","56,180","36,273",0
205,Dickens,2,63,"$38,730 ",0,2,2237,392,4,"1,097",682,"23,186","26,485","19,314",0
206,Donley,2,65,"$45,336 ",0,0,3506,814,5,"3,126","2,277","69,692","118,301","101,044",14
207,Fisher,2,76,"$49,100 ",0,0,3847,922,6,"1,077",633,"22,677","44,737","30,832",1
208,Foard,2,78,"$52,630 ",0,0,1320,177,5,997,620,"21,173","14,212","10,350",0
209,Hemphill,2,106,"$61,340 ",0,0,4151,2750,4,800,495,"16,747","35,854","26,021",0
210,Lipscomb,2,148,"$83,655 ",0,0,3507,1308,4,768,416,"15,410","29,081","18,476",14
211,McCulloch,2,160,"$41,306 ",0,1,8242,4270,5,888,506,"18,371","78,969","52,824",31
212,Sherman,2,211,"$91,855 ",0,0,3069,653,4,"1,546",957,"32,602","51,222","37,167",12
213,Sterling,2,216,"$63,329 ",0,0,1233,589,6,"3,685","2,619","82,500","49,056","40,874",0
214,Sutton,2,218,"$56,622 ",0,0,3936,2008,5,"2,220","2,818","62,500","94,344","140,388",14
215,Armstrong,1,6,"$60,233 ",0,0,1913,479,4,"3,181","2,048","68,164","65,685","49,571",0
216,Bailey,1,9,"$49,737 ",0,0,7131,2944,4,732,386,"14,485","56,373","34,873",13
217,Baylor,1,12,"$53,984 ",0,0,3639,1867,6,"1,091",658,"23,130","42,863","30,314",24
218,Borden,1,17,"$66,783 ",0,0,698,19,6,"3,088","1,920","65,626","23,267","16,957",5
219,Briscoe,1,23,"$45,758 ",0,0,1672,156,5,"1,208",651,"24,116","21,810","13,766",0
220,Garza,1,85,"$31,223 ",0,0,6614,2205,3,"1,445",922,"31,192","103,153","77,157",0
221,Jim Hogg,1,124,"$36,847 ",0,0,5218,2015,4,732,423,"15,384","41,231","27,961",14
222,Kent,1,132,"$51,139 ",0,0,667,96,6,"1,883","1,152","39,952","13,558","9,722",0
223,King,1,135,"$81,541 ",0,0,274,0,4,"6,709","4,760","149,363","19,844","16,505",0
224,Menard,1,164,"$41,220 ",0,0,2163,334,6,"1,124",718,"24,049","26,236","19,657",14
225,Mitchell,1,168,"$37,113 ",0,1,8995,2100,4,"1,160","1,187","29,905","112,673","135,175",0
226,Oldham,1,180,"$56,033 ",0,0,2069,718,4,"5,488","7,336","156,457","122,583","192,087",15
227,Sabine,1,202,"$40,477 ",0,0,10367,2604,5,382,208,"7,872","42,792","27,282",0
228,Upton,1,231,"$50,428 ",0,0,3475,2084,6,"1,232",848,"27,087","46,203","37,302",14
229,Yoakum,1,251,"$44,395 ",0,0,8316,4664,4,573,347,"12,078","51,456","36,485",0
230,Zavala,1,254,"$33,303 ",0,0,12107,2808,4,789,431,"16,163","103,107","66,035",3
231,Cochran,0,40,"$44,903 ",0,0,2955,430,4,"1,307",675,"25,751","41,696","25,242",0
232,Martin,0,156,"$64,602 ",0,0,5451,2197,5,"1,607","1,564","39,949","94,550","107,895",0
233,Coke,0,41,"$45,856 ",0,1,3228,495,7,"1,507",953,"32,410","52,531","38,938",0
234,Cottle,0,51,"$68,268 ",0,0,1560,190,5,"1,497",901,"31,145","25,212","17,781",0
235,Crane,0,52,"$49,749 ",0,0,4823,1862,5,993,655,"21,549","51,694","39,984",0
236,Dimmit,0,64,"$44,874 ",0,10,10842,8977,4,"1,024",607,"21,594","119,799","83,245",0
237,Glasscock,0,87,"$87,334 ",0,0,1253,251,6,"4,352","2,866","93,589","58,870","45,447",0
238,Hall,0,96,"$35,416 ",0,0,3162,982,4,"1,624",890,"32,487","55,425","35,598",0
239,Irion,0,118,"$72,353 ",0,0,1631,871,5,"3,306","2,340","74,846","58,219","48,307",0
240,Kenedy,0,131,"$46,296 ",0,0,558,271,4,"11,560","7,920","252,959","69,633","55,930",0
241,Kimble,0,134,"$48,071 ",0,19,4453,1836,7,"1,947","2,291","52,481","93,582","129,105",0
242,Loving,0,151,"$49,072 ",0,0,76,10,6,"31,577","18,242","637,723","25,907","17,545",0
243,McMullen,0,162,"$73,356 ",0,0,671,1044,5,"6,149","5,093","149,522","44,541","43,251",0
244,Motley,0,173,"$39,505 ",0,0,1022,208,5,"1,717","1,048","36,569","18,946","13,555",0
245,Reagan,0,192,"$54,091 ",0,0,3625,2992,5,"2,284","1,451","49,006","89,394","66,563",0
246,Roberts,0,197,"$52,804 ",0,0,939,138,5,"2,242","1,369","47,168","22,722","16,263",0
247,Schleicher,0,207,"$46,015 ",0,0,3171,669,5,"1,085",690,"23,347","37,135","27,704",0
248,Stonewall,0,217,"$59,419 ",0,0,1233,641,6,"2,162","1,405","47,134","28,780","21,931",0
249,Terrell,0,222,"$61,631 ",0,0,778,62,6,"2,458","2,519","68,281","20,642","24,798",0
250,Culberson,0,55,"$69,350 ",0,12,2259,1083,4,"6,436","6,829","166,498","156,960","195,227",28
251,DeWitt,0,62,"$60,890 ",0,2,20660,10465,5,607,333,"12,655","135,297","87,163",73
252,Gaines,0,83,"$47,826 ",0,0,19485,7818,4,716,456,"15,434","150,615","112,358",15
253,La Salle,0,139,"$41,114 ",0,4,7319,5517,4,"2,012","2,450","54,523","158,961","226,926",14
254,Throckmorton,0,224,"$44,582 ",0,0,1520,404,7,"1,495",870,"31,285","24,524","16,733",0
